Game #,Move Log
Game 46,"Greedy fires at (8,2) → HIT"
Game 46,"Random fires at (4,2) → HIT"
Game 46,"Greedy fires at (7,2) → MISS"
Game 46,"Random fires at (7,3) → MISS"
Game 46,"Greedy fires at (9,2) → MISS"
Game 46,"Random fires at (0,8) → MISS"
Game 46,"Greedy fires at (8,1) → HIT"
Game 46,"Random fires at (5,0) → MISS"
Game 46,"Greedy fires at (8,3) → MISS"
Game 46,"Random fires at (9,6) → MISS"
Game 46,"Greedy fires at (8,7) → MISS"
Game 46,"Random fires at (5,6) → MISS"
Game 46,"Greedy fires at (7,7) → MISS"
Game 46,"Random fires at (5,3) → MISS"
Game 46,"Greedy fires at (9,7) → MISS"
Game 46,"Random fires at (9,8) → MISS"
Game 46,"Greedy fires at (8,6) → MISS"
Game 46,"Random fires at (1,0) → MISS"
Game 46,"Greedy fires at (8,8) → MISS"
Game 46,"Random fires at (3,1) → MISS"
Game 46,"Greedy fires at (0,8) → MISS"
Game 46,"Random fires at (0,4) → MISS"
Game 46,"Greedy fires at (1,8) → MISS"
Game 46,"Random fires at (0,0) → MISS"
Game 46,"Greedy fires at (0,7) → MISS"
Game 46,"Random fires at (8,0) → MISS"
Game 46,"Greedy fires at (0,9) → MISS"
Game 46,"Random fires at (3,0) → MISS"
Game 46,"Greedy fires at (4,0) → MISS"
Game 46,"Random fires at (9,3) → MISS"
Game 46,"Greedy fires at (3,0) → MISS"
Game 46,"Random fires at (7,6) → HIT"
Game 46,"Greedy fires at (5,0) → MISS"
Game 46,"Random fires at (2,8) → MISS"
Game 46,"Greedy fires at (4,1) → HIT"
Game 46,"Random fires at (3,2) → HIT"
Game 46,"Greedy fires at (1,5) → MISS"
Game 46,"Random fires at (4,7) → MISS"
Game 46,"Greedy fires at (0,5) → MISS"
Game 46,"Random fires at (8,8) → MISS"
Game 46,"Greedy fires at (2,5) → MISS"
Game 46,"Random fires at (0,6) → MISS"
Game 46,"Greedy fires at (1,4) → MISS"
Game 46,"Random fires at (6,8) → HIT"
Game 46,"Greedy fires at (1,6) → MISS"
Game 46,"Random fires at (2,7) → MISS"
Game 46,"Greedy fires at (0,0) → MISS"
Game 46,"Random fires at (7,7) → HIT"
Game 46,"Greedy fires at (1,0) → MISS"
Game 46,"Random fires at (3,3) → MISS"
Game 46,"Greedy fires at (0,1) → MISS"
Game 46,"Random fires at (3,4) → MISS"
Game 46,"Greedy fires at (7,3) → HIT"
Game 46,"Random fires at (2,6) → MISS"
Game 46,"Greedy fires at (6,3) → HIT"
Game 46,"Random fires at (0,9) → MISS"
Game 46,"Greedy fires at (7,4) → MISS"
Game 46,"Random fires at (4,8) → HIT"
Game 46,"Greedy fires at (9,9) → MISS"
Game 46,"Random fires at (8,9) → HIT"
Game 46,"Greedy fires at (8,9) → MISS"
Game 46,"Random fires at (5,2) → HIT"
Game 46,"Greedy fires at (9,8) → MISS"
Game 46,"Random fires at (4,9) → MISS"
Game 46,"Greedy fires at (1,3) → MISS"
Game 46,"Random fires at (7,5) → MISS"
Game 46,"Greedy fires at (0,3) → MISS"
Game 46,"Random fires at (1,2) → HIT"
Game 46,"Greedy fires at (2,3) → MISS"
Game 46,"Random fires at (9,7) → MISS"
Game 46,"Greedy fires at (1,2) → MISS"
Game 46,"Random fires at (6,5) → MISS"
Game 46,"Greedy fires at (0,4) → MISS"
Game 46,"Random fires at (7,1) → MISS"
Game 46,"Greedy fires at (4,9) → MISS"
Game 46,"Random fires at (7,2) → MISS"
Game 46,"Greedy fires at (4,2) → MISS"
Game 46,"Random fires at (3,8) → MISS"
Game 46,"Greedy fires at (3,2) → MISS"
Game 46,"Random fires at (7,8) → MISS"
Game 46,"Greedy fires at (5,2) → MISS"
Game 46,"Random fires at (7,0) → MISS"
Game 46,"Greedy fires at (4,3) → HIT"
Game 46,"Random fires at (8,3) → MISS"
Game 46,"Greedy fires at (2,7) → MISS"
Game 46,"Random fires at (5,1) → MISS"
Game 46,"Greedy fires at (1,7) → MISS"
Game 46,"Random fires at (6,1) → MISS"
Game 46,"Greedy fires at (2,6) → MISS"
Game 46,"Random fires at (4,4) → MISS"
Game 46,"Greedy fires at (3,6) → MISS"
Game 46,"Random fires at (3,6) → MISS"
Game 46,"Greedy fires at (4,6) → MISS"
Game 46,"Random fires at (5,9) → MISS"
Game 46,"Greedy fires at (1,1) → MISS"
Game 46,"Random fires at (8,6) → HIT"
Game 46,"Greedy fires at (2,1) → HIT"
Game 46,"Random fires at (2,3) → MISS"
Game 46,"Greedy fires at (6,6) → MISS"
Game 46,"Random fires at (9,1) → MISS"
Game 46,"Greedy fires at (5,6) → MISS"
Game 46,"Random fires at (0,1) → MISS"
Game 46,"Greedy fires at (7,6) → MISS"
Game 46,"Random fires at (8,7) → HIT"
Game 46,"Greedy fires at (6,5) → HIT"
Game 46,"Random fires at (6,3) → MISS"
Game 46,"Greedy fires at (6,7) → MISS"
Game 46,"Random fires at (0,2) → MISS"
Game 46,"Greedy fires at (8,4) → MISS"
Game 46,"Random fires at (6,9) → MISS"
Game 46,"Greedy fires at (9,4) → MISS"
Game 46,"Random fires at (6,6) → HIT"
Game 46,"Greedy fires at (8,5) → HIT"
Game 46,"Random fires at (8,4) → MISS"
Game 46,"Greedy fires at (9,3) → MISS"
Game 46,"Random fires at (2,0) → MISS"
Game 46,"Greedy fires at (7,8) → MISS"
Game 46,"Random fires at (5,8) → HIT"
Game 46,"Greedy fires at (2,2) → MISS"
Game 46,"Random fires at (1,9) → MISS"
Game 46,"Greedy fires at (9,0) → MISS"
Game 46,"Random fires at (2,9) → MISS"
Game 46,"Greedy fires at (8,0) → MISS"
Game 46,"Random fires at (2,2) → HIT"
Game 46,"Greedy fires at (9,1) → MISS"
Game 47,"Aggressive fires at (1,3) → HIT"
Game 47,"Strategic fires at (0,0) → MISS"
Game 47,"Aggressive fires at (2,4) → MISS"
Game 47,"Strategic fires at (0,2) → MISS"
Game 47,"Aggressive fires at (1,4) → HIT"
Game 47,"Strategic fires at (0,4) → MISS"
Game 47,"Aggressive fires at (4,1) → MISS"
Game 47,"Strategic fires at (0,6) → MISS"
Game 47,"Aggressive fires at (2,0) → MISS"
Game 47,"Strategic fires at (0,8) → MISS"
Game 47,"Aggressive fires at (2,1) → MISS"
Game 47,"Strategic fires at (1,1) → MISS"
Game 47,"Aggressive fires at (0,0) → MISS"
Game 47,"Strategic fires at (1,3) → MISS"
Game 47,"Aggressive fires at (4,3) → MISS"
Game 47,"Strategic fires at (1,5) → HIT"
Game 47,"Aggressive fires at (2,3) → MISS"
Game 47,"Strategic fires at (1,7) → HIT"
Game 47,"Aggressive fires at (3,2) → MISS"
Game 47,"Strategic fires at (1,9) → MISS"
Game 47,"Aggressive fires at (4,0) → MISS"
Game 47,"Strategic fires at (2,2) → MISS"
Game 47,"Aggressive fires at (3,3) → MISS"
Game 47,"Strategic fires at (2,4) → MISS"
Game 47,"Aggressive fires at (1,0) → MISS"
Game 47,"Strategic fires at (2,6) → MISS"
Game 47,"Aggressive fires at (0,1) → MISS"
Game 47,"Strategic fires at (2,8) → MISS"
Game 47,"Aggressive fires at (4,4) → MISS"
Game 47,"Strategic fires at (3,1) → HIT"
Game 47,"Aggressive fires at (0,3) → MISS"
Game 47,"Strategic fires at (3,3) → MISS"
Game 47,"Aggressive fires at (1,2) → HIT"
Game 47,"Strategic fires at (3,5) → MISS"
Game 47,"Aggressive fires at (0,4) → MISS"
Game 47,"Strategic fires at (3,7) → MISS"
Game 47,"Aggressive fires at (2,2) → MISS"
Game 47,"Strategic fires at (3,9) → MISS"
Game 47,"Aggressive fires at (1,1) → MISS"
Game 47,"Strategic fires at (4,2) → MISS"
Game 47,"Aggressive fires at (0,2) → MISS"
Game 47,"Strategic fires at (4,4) → MISS"
Game 47,"Aggressive fires at (3,4) → MISS"
Game 47,"Strategic fires at (4,6) → MISS"
Game 47,"Aggressive fires at (3,0) → MISS"
Game 47,"Strategic fires at (4,8) → MISS"
Game 47,"Aggressive fires at (4,2) → MISS"
Game 47,"Strategic fires at (5,1) → HIT"
Game 47,"Aggressive fires at (3,1) → MISS"
Game 47,"Strategic fires at (5,3) → MISS"
Game 47,"Aggressive fires at (0,8) → MISS"
Game 47,"Strategic fires at (5,5) → MISS"
Game 47,"Aggressive fires at (8,5) → MISS"
Game 47,"Strategic fires at (5,7) → MISS"
Game 47,"Aggressive fires at (6,7) → HIT"
Game 47,"Strategic fires at (5,9) → MISS"
Game 47,"Aggressive fires at (7,2) → MISS"
Game 47,"Strategic fires at (6,2) → MISS"
Game 47,"Aggressive fires at (6,6) → HIT"
Game 47,"Strategic fires at (6,4) → MISS"
Game 47,"Aggressive fires at (7,1) → MISS"
Game 47,"Strategic fires at (6,6) → MISS"
Game 47,"Aggressive fires at (1,8) → MISS"
Game 47,"Strategic fires at (6,8) → MISS"
Game 47,"Aggressive fires at (6,5) → HIT"
Game 47,"Strategic fires at (7,1) → HIT"
Game 47,"Aggressive fires at (9,9) → MISS"
Game 47,"Strategic fires at (7,3) → HIT"
Game 47,"Aggressive fires at (9,5) → MISS"
Game 47,"Strategic fires at (7,5) → MISS"
Game 47,"Aggressive fires at (0,5) → MISS"
Game 47,"Strategic fires at (7,7) → MISS"
Game 47,"Aggressive fires at (1,7) → MISS"
Game 47,"Strategic fires at (7,9) → MISS"
Game 47,"Aggressive fires at (6,9) → HIT"
Game 47,"Strategic fires at (8,2) → MISS"
Game 47,"Aggressive fires at (2,5) → MISS"
Game 47,"Strategic fires at (8,4) → MISS"
Game 47,"Aggressive fires at (8,8) → HIT"
Game 47,"Strategic fires at (8,6) → MISS"
Game 47,"Aggressive fires at (3,6) → MISS"
Game 47,"Strategic fires at (8,8) → HIT"
Game 47,"Aggressive fires at (5,5) → MISS"
Game 47,"Strategic fires at (9,1) → MISS"
Game 47,"Aggressive fires at (3,9) → MISS"
Game 47,"Strategic fires at (9,3) → MISS"
Game 47,"Aggressive fires at (9,8) → MISS"
Game 47,"Strategic fires at (9,5) → MISS"
Game 47,"Aggressive fires at (4,8) → MISS"
Game 47,"Strategic fires at (9,7) → MISS"
Game 47,"Aggressive fires at (9,6) → MISS"
Game 47,"Strategic fires at (9,9) → MISS"
Game 47,"Aggressive fires at (6,2) → MISS"
Game 47,"Strategic fires at (4,3) → MISS"
Game 47,"Aggressive fires at (1,9) → MISS"
Game 47,"Strategic fires at (6,9) → MISS"
Game 47,"Aggressive fires at (8,3) → MISS"
Game 47,"Strategic fires at (7,8) → HIT"
Game 47,"Aggressive fires at (5,2) → MISS"
Game 47,"Strategic fires at (1,8) → HIT"
Game 47,"Aggressive fires at (0,7) → MISS"
Game 47,"Strategic fires at (7,4) → MISS"
Game 47,"Aggressive fires at (9,2) → MISS"
Game 47,"Strategic fires at (0,1) → MISS"
Game 47,"Aggressive fires at (4,6) → MISS"
Game 47,"Strategic fires at (8,5) → MISS"
Game 47,"Aggressive fires at (7,9) → MISS"
Game 47,"Strategic fires at (7,2) → HIT"
Game 47,"Aggressive fires at (6,1) → MISS"
Game 47,"Strategic fires at (3,8) → MISS"
Game 47,"Aggressive fires at (1,6) → MISS"
Game 47,"Strategic fires at (9,2) → MISS"
Game 47,"Aggressive fires at (5,9) → MISS"
Game 47,"Strategic fires at (6,0) → HIT"
Game 47,"Aggressive fires at (7,4) → HIT"
Game 47,"Strategic fires at (7,0) → MISS"
Game 47,"Aggressive fires at (7,0) → MISS"
Game 47,"Strategic fires at (7,6) → MISS"
Game 47,"Aggressive fires at (6,3) → MISS"
Game 47,"Strategic fires at (4,5) → MISS"
Game 47,"Aggressive fires at (8,9) → HIT"
Game 47,"Strategic fires at (0,3) → MISS"
Game 47,"Aggressive fires at (3,8) → MISS"
Game 47,"Strategic fires at (0,7) → MISS"
Game 47,"Aggressive fires at (5,0) → MISS"
Game 47,"Strategic fires at (2,1) → MISS"
Game 47,"Aggressive fires at (5,7) → MISS"
Game 47,"Strategic fires at (1,0) → MISS"
Game 47,"Aggressive fires at (4,5) → MISS"
Game 47,"Strategic fires at (3,4) → MISS"
Game 47,"Aggressive fires at (8,4) → MISS"
Game 47,"Strategic fires at (1,2) → MISS"
Game 47,"Aggressive fires at (3,7) → MISS"
Game 47,"Strategic fires at (0,5) → MISS"
Game 47,"Aggressive fires at (5,3) → MISS"
Game 47,"Strategic fires at (8,7) → MISS"
Game 47,"Aggressive fires at (2,7) → MISS"
Game 47,"Strategic fires at (8,0) → MISS"
Game 47,"Aggressive fires at (7,5) → MISS"
Game 47,"Strategic fires at (2,7) → MISS"
Game 47,"Aggressive fires at (9,0) → HIT"
Game 47,"Strategic fires at (3,6) → MISS"
Game 47,"Aggressive fires at (7,8) → MISS"
Game 47,"Strategic fires at (8,9) → MISS"
Game 47,"Aggressive fires at (9,4) → MISS"
Game 47,"Strategic fires at (5,6) → MISS"
Game 47,"Aggressive fires at (0,6) → MISS"
Game 47,"Strategic fires at (5,2) → MISS"
Game 47,"Aggressive fires at (8,6) → HIT"
Game 47,"Strategic fires at (9,8) → MISS"
Game 47,"Aggressive fires at (5,8) → MISS"
Game 47,"Strategic fires at (5,8) → MISS"
Game 47,"Aggressive fires at (4,7) → MISS"
Game 47,"Strategic fires at (8,1) → MISS"
Game 47,"Aggressive fires at (9,1) → HIT"
Game 47,"Strategic fires at (5,0) → HIT"
Game 47,"Aggressive fires at (8,7) → HIT"
Game 47,"Strategic fires at (4,0) → HIT"
Game 47,"Aggressive fires at (8,2) → MISS"
Game 47,"Strategic fires at (6,7) → MISS"
Game 47,"Aggressive fires at (5,6) → MISS"
Game 47,"Strategic fires at (6,5) → MISS"
Game 47,"Aggressive fires at (2,6) → MISS"
Game 47,"Strategic fires at (0,9) → MISS"
Game 47,"Aggressive fires at (2,8) → MISS"
Game 47,"Strategic fires at (9,6) → MISS"
Game 47,"Aggressive fires at (2,9) → MISS"
Game 47,"Strategic fires at (6,1) → HIT"
Game 47,"Aggressive fires at (3,5) → MISS"
Game 47,"Strategic fires at (2,5) → MISS"
Game 47,"Aggressive fires at (7,3) → MISS"
Game 47,"Strategic fires at (5,4) → MISS"
Game 47,"Aggressive fires at (8,0) → MISS"
Game 47,"Strategic fires at (9,4) → MISS"
Game 47,"Aggressive fires at (9,3) → MISS"
Game 47,"Strategic fires at (3,0) → MISS"
Game 47,"Aggressive fires at (9,7) → MISS"
Game 47,"Strategic fires at (9,0) → MISS"
Game 47,"Aggressive fires at (4,9) → MISS"
Game 47,"Strategic fires at (4,1) → HIT"
Game 47,"Aggressive fires at (0,9) → MISS"
Game 47,"Strategic fires at (2,3) → MISS"
Game 47,"Aggressive fires at (7,7) → MISS"
Game 47,"Strategic fires at (1,6) → HIT"
Game 47,"Aggressive fires at (6,4) → HIT"
Game 47,"Strategic fires at (6,3) → MISS"
Game 47,"Aggressive fires at (6,8) → HIT"
Game 47,"Strategic fires at (4,7) → MISS"
Game 47,"Aggressive fires at (7,6) → MISS"
Game 47,"Strategic fires at (8,3) → MISS"
Game 47,"Aggressive fires at (5,1) → MISS"
Game 47,"Strategic fires at (4,9) → MISS"
Game 47,"Aggressive fires at (6,0) → MISS"
Game 47,"Strategic fires at (2,9) → MISS"
Game 47,"Aggressive fires at (8,1) → MISS"
Game 47,"Strategic fires at (2,0) → MISS"
Game 47,"Aggressive fires at (5,4) → HIT"
Game 47,"Strategic fires at (3,2) → MISS"
Game 48,"Greedy fires at (5,1) → MISS"
Game 48,"Aggressive fires at (4,1) → MISS"
Game 48,"Greedy fires at (4,1) → MISS"
Game 48,"Aggressive fires at (1,2) → MISS"
Game 48,"Greedy fires at (6,1) → MISS"
Game 48,"Aggressive fires at (1,4) → HIT"
Game 48,"Greedy fires at (5,0) → MISS"
Game 48,"Aggressive fires at (0,4) → HIT"
Game 48,"Greedy fires at (5,2) → MISS"
Game 48,"Aggressive fires at (3,3) → HIT"
Game 48,"Greedy fires at (9,8) → MISS"
Game 48,"Aggressive fires at (1,0) → MISS"
Game 48,"Greedy fires at (8,8) → MISS"
Game 48,"Aggressive fires at (1,3) → MISS"
Game 48,"Greedy fires at (9,7) → MISS"
Game 48,"Aggressive fires at (4,4) → MISS"
Game 48,"Greedy fires at (9,9) → MISS"
Game 48,"Aggressive fires at (4,2) → MISS"
Game 48,"Greedy fires at (0,8) → MISS"
Game 48,"Aggressive fires at (0,0) → MISS"
Game 48,"Greedy fires at (1,8) → MISS"
Game 48,"Aggressive fires at (2,3) → MISS"
Game 48,"Greedy fires at (0,7) → MISS"
Game 48,"Aggressive fires at (2,2) → MISS"
Game 48,"Greedy fires at (0,9) → MISS"
Game 48,"Aggressive fires at (4,3) → HIT"
Game 48,"Greedy fires at (5,9) → MISS"
Game 48,"Aggressive fires at (2,4) → HIT"
Game 48,"Greedy fires at (4,9) → MISS"
Game 48,"Aggressive fires at (0,3) → HIT"
Game 48,"Greedy fires at (6,9) → MISS"
Game 48,"Aggressive fires at (2,1) → MISS"
Game 48,"Greedy fires at (5,8) → MISS"
Game 48,"Aggressive fires at (3,0) → MISS"
Game 48,"Greedy fires at (5,7) → MISS"
Game 48,"Aggressive fires at (1,1) → MISS"
Game 48,"Greedy fires at (4,7) → HIT"
Game 48,"Aggressive fires at (3,1) → MISS"
Game 48,"Greedy fires at (6,7) → HIT"
Game 48,"Aggressive fires at (3,4) → MISS"
Game 48,"Greedy fires at (5,6) → MISS"
Game 48,"Aggressive fires at (0,1) → MISS"
Game 48,"Greedy fires at (7,1) → MISS"
Game 48,"Aggressive fires at (2,0) → MISS"
Game 48,"Greedy fires at (8,1) → MISS"
Game 48,"Aggressive fires at (4,0) → MISS"
Game 48,"Greedy fires at (7,0) → MISS"
Game 48,"Aggressive fires at (0,2) → HIT"
Game 48,"Greedy fires at (7,2) → MISS"
Game 48,"Aggressive fires at (3,2) → MISS"
Game 48,"Greedy fires at (0,5) → MISS"
Game 48,"Aggressive fires at (8,1) → MISS"
Game 48,"Greedy fires at (1,5) → MISS"
Game 48,"Aggressive fires at (9,0) → MISS"
Game 48,"Greedy fires at (0,4) → HIT"
Game 48,"Aggressive fires at (9,1) → MISS"
Game 48,"Greedy fires at (0,6) → MISS"
Game 48,"Aggressive fires at (8,0) → MISS"
Game 48,"Greedy fires at (0,2) → MISS"
Game 48,"Aggressive fires at (6,1) → MISS"
Game 48,"Greedy fires at (1,2) → MISS"
Game 48,"Aggressive fires at (6,0) → MISS"
Game 48,"Greedy fires at (0,1) → MISS"
Game 48,"Aggressive fires at (0,7) → MISS"
Game 48,"Greedy fires at (0,3) → MISS"
Game 48,"Aggressive fires at (9,4) → MISS"
Game 48,"Greedy fires at (6,2) → MISS"
Game 48,"Aggressive fires at (8,8) → MISS"
Game 48,"Greedy fires at (6,3) → MISS"
Game 48,"Aggressive fires at (1,6) → MISS"
Game 48,"Greedy fires at (6,8) → HIT"
Game 48,"Aggressive fires at (4,6) → HIT"
Game 48,"Greedy fires at (7,8) → MISS"
Game 48,"Aggressive fires at (8,3) → MISS"
Game 48,"Greedy fires at (2,3) → MISS"
Game 48,"Aggressive fires at (5,2) → MISS"
Game 48,"Greedy fires at (1,3) → MISS"
Game 48,"Aggressive fires at (6,9) → MISS"
Game 48,"Greedy fires at (3,3) → HIT"
Game 48,"Aggressive fires at (7,8) → MISS"
Game 48,"Greedy fires at (2,2) → MISS"
Game 48,"Aggressive fires at (5,9) → MISS"
Game 48,"Greedy fires at (2,4) → HIT"
Game 48,"Aggressive fires at (7,2) → MISS"
Game 48,"Greedy fires at (4,6) → HIT"
Game 48,"Aggressive fires at (3,6) → HIT"
Game 48,"Greedy fires at (3,6) → HIT"
Game 48,"Aggressive fires at (4,5) → MISS"
Game 48,"Greedy fires at (4,5) → MISS"
Game 48,"Aggressive fires at (7,6) → HIT"
Game 48,"Greedy fires at (9,4) → MISS"
Game 48,"Aggressive fires at (0,5) → HIT"
Game 48,"Greedy fires at (8,4) → MISS"
Game 48,"Aggressive fires at (0,6) → MISS"
Game 48,"Greedy fires at (9,3) → MISS"
Game 48,"Aggressive fires at (3,9) → MISS"
Game 48,"Greedy fires at (9,5) → MISS"
Game 48,"Aggressive fires at (5,0) → MISS"
Game 48,"Greedy fires at (7,4) → MISS"
Game 48,"Aggressive fires at (9,8) → MISS"
Game 48,"Greedy fires at (6,4) → HIT"
Game 48,"Aggressive fires at (8,9) → MISS"
Game 48,"Greedy fires at (7,3) → MISS"
Game 48,"Aggressive fires at (8,4) → MISS"
Game 48,"Greedy fires at (7,5) → MISS"
Game 48,"Aggressive fires at (6,6) → HIT"
Game 48,"Greedy fires at (5,4) → MISS"
Game 48,"Aggressive fires at (9,9) → MISS"
Game 48,"Greedy fires at (4,4) → MISS"
Game 48,"Aggressive fires at (5,1) → MISS"
Game 48,"Greedy fires at (5,3) → MISS"
Game 48,"Aggressive fires at (7,7) → MISS"
Game 48,"Greedy fires at (5,5) → MISS"
Game 48,"Aggressive fires at (7,3) → HIT"
Game 48,"Greedy fires at (3,7) → MISS"
Game 48,"Aggressive fires at (6,8) → MISS"
Game 48,"Greedy fires at (2,7) → MISS"
Game 48,"Aggressive fires at (5,7) → MISS"
Game 48,"Greedy fires at (3,8) → MISS"
Game 48,"Aggressive fires at (3,5) → MISS"
Game 48,"Greedy fires at (2,0) → MISS"
Game 48,"Aggressive fires at (5,3) → HIT"
Game 48,"Greedy fires at (1,0) → MISS"
Game 48,"Aggressive fires at (5,4) → MISS"
Game 48,"Greedy fires at (3,0) → MISS"
Game 48,"Aggressive fires at (6,3) → HIT"
Game 48,"Greedy fires at (2,1) → HIT"
Game 48,"Aggressive fires at (3,8) → MISS"
Game 48,"Greedy fires at (2,6) → MISS"
Game 48,"Aggressive fires at (7,9) → MISS"
Game 48,"Greedy fires at (1,6) → MISS"
Game 48,"Aggressive fires at (6,5) → MISS"
Game 48,"Greedy fires at (2,5) → MISS"
Game 48,"Aggressive fires at (1,9) → MISS"
Game 48,"Greedy fires at (3,5) → HIT"
Game 48,"Aggressive fires at (9,7) → MISS"
Game 48,"Greedy fires at (3,4) → HIT"
Game 48,"Aggressive fires at (5,8) → MISS"
Game 48,"Greedy fires at (2,9) → MISS"
Game 48,"Aggressive fires at (5,5) → MISS"
Game 48,"Greedy fires at (1,9) → MISS"
Game 48,"Aggressive fires at (8,6) → HIT"
Game 48,"Greedy fires at (3,9) → MISS"
Game 48,"Aggressive fires at (6,4) → MISS"
Game 48,"Greedy fires at (2,8) → MISS"
Game 48,"Aggressive fires at (9,2) → MISS"
Game 48,"Greedy fires at (4,3) → MISS"
Game 48,"Aggressive fires at (2,5) → MISS"
Game 48,"Greedy fires at (4,2) → MISS"
Game 48,"Aggressive fires at (8,7) → MISS"
Game 48,"Greedy fires at (6,5) → HIT"
Game 48,"Aggressive fires at (4,7) → MISS"
Game 48,"Greedy fires at (6,6) → HIT"
Game 48,"Aggressive fires at (0,8) → MISS"
Game 48,"Greedy fires at (7,6) → MISS"
Game 48,"Aggressive fires at (6,2) → MISS"
Game 48,"Greedy fires at (8,6) → MISS"
Game 48,"Aggressive fires at (1,5) → MISS"
Game 48,"Greedy fires at (7,7) → MISS"
Game 48,"Aggressive fires at (9,6) → MISS"
Game 48,"Greedy fires at (3,2) → MISS"
Game 48,"Aggressive fires at (0,9) → MISS"
Game 48,"Greedy fires at (3,1) → HIT"
Game 48,"Aggressive fires at (9,5) → MISS"
Game 48,"Greedy fires at (9,1) → MISS"
Game 48,"Aggressive fires at (2,6) → HIT"
Game 49,"Strategic fires at (0,0) → MISS"
Game 49,"Random fires at (3,9) → MISS"
Game 49,"Strategic fires at (0,2) → MISS"
Game 49,"Random fires at (1,4) → HIT"
Game 49,"Strategic fires at (0,4) → MISS"
Game 49,"Random fires at (5,4) → MISS"
Game 49,"Strategic fires at (0,6) → MISS"
Game 49,"Random fires at (7,6) → MISS"
Game 49,"Strategic fires at (0,8) → HIT"
Game 49,"Random fires at (1,3) → HIT"
Game 49,"Strategic fires at (1,1) → MISS"
Game 49,"Random fires at (4,5) → MISS"
Game 49,"Strategic fires at (1,3) → MISS"
Game 49,"Random fires at (8,8) → MISS"
Game 49,"Strategic fires at (1,5) → MISS"
Game 49,"Random fires at (7,7) → HIT"
Game 49,"Strategic fires at (1,7) → MISS"
Game 49,"Random fires at (8,0) → MISS"
Game 49,"Strategic fires at (1,9) → MISS"
Game 49,"Random fires at (1,6) → HIT"
Game 49,"Strategic fires at (2,2) → HIT"
Game 49,"Random fires at (3,8) → MISS"
Game 49,"Strategic fires at (2,4) → MISS"
Game 49,"Random fires at (0,5) → MISS"
Game 49,"Strategic fires at (2,6) → MISS"
Game 49,"Random fires at (9,7) → HIT"
Game 49,"Strategic fires at (2,8) → MISS"
Game 49,"Random fires at (4,0) → MISS"
Game 49,"Strategic fires at (3,1) → MISS"
Game 49,"Random fires at (3,3) → HIT"
Game 49,"Strategic fires at (3,3) → MISS"
Game 49,"Random fires at (4,1) → MISS"
Game 49,"Strategic fires at (3,5) → MISS"
Game 49,"Random fires at (3,0) → HIT"
Game 49,"Strategic fires at (3,7) → HIT"
Game 49,"Random fires at (9,1) → MISS"
Game 49,"Strategic fires at (3,9) → HIT"
Game 49,"Random fires at (8,3) → MISS"
Game 49,"Strategic fires at (4,2) → MISS"
Game 49,"Random fires at (6,5) → MISS"
Game 49,"Strategic fires at (4,4) → MISS"
Game 49,"Random fires at (9,2) → MISS"
Game 49,"Strategic fires at (4,6) → MISS"
Game 49,"Random fires at (5,1) → HIT"
Game 49,"Strategic fires at (4,8) → MISS"
Game 49,"Random fires at (8,9) → MISS"
Game 49,"Strategic fires at (5,1) → MISS"
Game 49,"Random fires at (4,2) → MISS"
Game 49,"Strategic fires at (5,3) → MISS"
Game 49,"Random fires at (2,8) → MISS"
Game 49,"Strategic fires at (5,5) → HIT"
Game 49,"Random fires at (3,1) → HIT"
Game 49,"Strategic fires at (5,7) → HIT"
Game 49,"Random fires at (6,1) → MISS"
Game 49,"Strategic fires at (5,9) → MISS"
Game 49,"Random fires at (4,7) → MISS"
Game 49,"Strategic fires at (6,2) → MISS"
Game 49,"Random fires at (4,8) → MISS"
Game 49,"Strategic fires at (6,4) → MISS"
Game 49,"Random fires at (2,3) → MISS"
Game 49,"Strategic fires at (6,6) → MISS"
Game 49,"Random fires at (3,2) → HIT"
Game 49,"Strategic fires at (6,8) → MISS"
Game 49,"Random fires at (8,4) → MISS"
Game 49,"Strategic fires at (7,1) → MISS"
Game 49,"Random fires at (5,0) → MISS"
Game 49,"Strategic fires at (7,3) → MISS"
Game 49,"Random fires at (9,6) → HIT"
Game 49,"Strategic fires at (7,5) → MISS"
Game 49,"Random fires at (1,0) → MISS"
Game 49,"Strategic fires at (7,7) → MISS"
Game 49,"Random fires at (3,5) → MISS"
Game 49,"Strategic fires at (7,9) → MISS"
Game 49,"Random fires at (9,9) → MISS"
Game 49,"Strategic fires at (8,2) → MISS"
Game 49,"Random fires at (7,0) → MISS"
Game 49,"Strategic fires at (8,4) → MISS"
Game 49,"Random fires at (2,5) → MISS"
Game 49,"Strategic fires at (8,6) → MISS"
Game 49,"Random fires at (4,9) → MISS"
Game 49,"Strategic fires at (8,8) → MISS"
Game 49,"Random fires at (7,5) → MISS"
Game 49,"Strategic fires at (9,1) → MISS"
Game 49,"Random fires at (9,4) → MISS"
Game 49,"Strategic fires at (9,3) → MISS"
Game 49,"Random fires at (6,2) → MISS"
Game 49,"Strategic fires at (9,5) → MISS"
Game 49,"Random fires at (6,4) → MISS"
Game 49,"Strategic fires at (9,7) → MISS"
Game 49,"Random fires at (0,9) → MISS"
Game 49,"Strategic fires at (9,9) → MISS"
Game 49,"Random fires at (8,7) → MISS"
Game 49,"Strategic fires at (8,5) → MISS"
Game 49,"Random fires at (2,6) → MISS"
Game 49,"Strategic fires at (9,6) → MISS"
